01-314,4.800000191,1,435,90.6249964
01-314,67.20000124,3,6300,93.74999827
01-314,68.79999924,5,12055,175.2180252
01-314,73,7,6434,88.1369863
01-314,72.00000024,9,5700,79.1666664
01-314,72,11,3345,46.45833333
01-314,72,13,3435,47.70833333
01-314,25,17,540,21.6
01-314,45,19,780,17.33333333
01-314,102,21,2640,25.88235294
01-317,0,1,0,\N
01-317,12.00000024,5,1095,91.24999819
01-317,12.00000006,7,1305,108.7499995
07-001A,4,1,285,71.25
07-001A,4.000000056,3,3270,817.4999886
07-002A,3,1,180,60
07-002A,3.55000009,3,2790,785.915473
07-006A,4,1,360,90
07-006A,4,3,2775,693.75
07-007A,4.550000012,3,750,164.8351644
07-007A,3.449999973,5,2355,682.608701
07-008A,4,3,360,90
07-008A,4,5,2895,723.75
07-009,2.700000048,3,990,366.6666602
07-009,3.299999982,5,1185,359.090911
07-010,6.00000003,5,2355,392.4999981
07-011,4.899999954,3,1605,327.5510235
07-011,0.99999997,5,360,360.0000107
07-012,6.600000024,3,2070,313.6363625
07-012,0.550000012,5,195,354.5454469
07-013A,4,1,240,60
07-013A,4.000000048,3,2970,742.499991
07-014A,3,1,240,80
07-014A,2.999999978,3,2130,710.0000053
18-002A,48,5,1110,23.125
18-002A,48,7,510,10.625
18-003A,80,3,660,8.25
18-003A,80,5,1470,18.375
18-003A,80,7,510,6.375
18-008A,15,1,180,12
18-008A,55,3,270,4.909090909
18-008A,93,5,615,6.612903226
18-008A,90,7,435,4.833333333
18-009A,36,1,270,7.5
18-009A,65,3,315,4.846153846
18-009A,166,5,930,5.602409639
18-009A,96,7,530,5.520833333
18-029A,586,1,1730,2.95221843
18-029A,1086,3,1155,1.063535912
18-030A,1038,1,4155,4.002890173
18-030A,115,3,460,4
18-031A,0,1,0,\N
18-031A,299,3,1455,4.866220736
18-031A,299,5,525,1.755852843
18-032A,1743,1,6435,3.691910499
18-032A,2371,3,5055,2.132011809
18-034A,50,5,1500,30
18-038A,4,3,60,15
18-038A,4.000000119,5,270,67.49999799
18-039A,7,3,135,19.28571429
18-039A,7,5,675,96.42857143
18-040A,5,1,60,12
18-040A,5,3,75,15
18-040A,5,5,300,60
18-041A,1,1,60,60
18-041A,4,3,75,18.75
18-041A,4,5,300,75
18-042A,14,1,385,27.5
18-042A,22,3,900,40.90909091
18-042A,5,5,345,69
18-043A,14,1,395,28.21428571
18-043A,14,3,420,30
18-043A,7,5,495,70.71428571
18-044A,0,1,0,\N
18-044A,5,3,150,30
18-044A,5,5,245,49
18-044A,5,7,270,54
18-045A,4,3,90,22.5
18-045A,4,5,180,45
18-045A,4,9,480,120
18-048A,30,3,950,31.66666667
18-048A,16,5,1090,68.125
18-048A,2,7,120,60
18-049A,1,1,30,30
18-049A,15,3,520,34.66666667
18-049A,13,5,1020,78.46153846
18-050A,0,1,0,\N
18-050A,29,3,990,34.13793103
18-050A,21.70000005,5,1440,66.35944686
18-051A,29.00000018,3,1425,49.13793073
18-051A,21,5,1305,62.14285714
18-052A,6,1,60,10
18-052A,18,3,1215,67.5
18-053A,6,1,60,10
18-053A,18,3,1215,67.5
18-054A,10,1,60,6
18-054A,13,3,780,60
18-054A,4,5,240,60
18-055A,10,1,60,6
18-055A,17,3,1020,60
18-056A,6,3,180,30
18-056A,6,5,120,20
18-056A,6,9,360,60
18-057A,6,3,90,15
18-057A,6,9,375,62.5
18-059A,5.5,1,300,54.54545455
18-059A,4,3,150,37.5
18-059A,4,5,240,60
18-059A,4,7,150,37.5
18-059A,2.5,9,210,84
18-060A,8,1,240,30
18-060A,4,3,60,15
18-060A,9.299999952,5,440,47.3118282
18-060A,7.699999988,7,440,57.14285723
18-060A,12,9,1050,87.5
18-061A,10,1,90,9
18-061A,10,3,600,60
18-061A,10,5,630,63
18-064A,6,1,30,5
18-064A,6,3,390,65
18-064A,6,5,510,85
18-065C,7.299999952,5,885,121.2328775
18-065C,0.699999988,7,135,192.8571461
18-065C,4,9,120,30
18-066C,0,3,0,\N
18-066C,12,5,1170,97.5
18-066C,11.99999991,7,2190,182.5000014
18-066C,10,9,300,30
18-075A,533,1,4455,8.358348968
18-075A,283,3,1620,5.724381625
18-075A,333,5,2280,6.846846847
18-075A,75,7,480,6.4
18-076A,158,3,1185,7.5
18-076A,157,5,930,5.923566879
18-076A,158,7,1320,8.35443038
18-077A,220,3,1590,7.227272727
18-077A,220,5,1200,5.454545455
18-077A,215,7,1556,7.237209302
18-078A,434,1,3775,8.698156682
18-078A,428,3,1560,3.644859813
18-078A,439,5,2760,6.287015945
18-079A,6,1,210,35
18-079A,1,3,60,60
18-079A,4,5,390,97.5
18-079A,4,9,360,90
18-080B,5.00000006,1,840,167.999998
18-080B,4.999999978,3,1830,366.0000016
18-081B,3.999999881,1,600,150.0000045
18-081B,4.000000089,3,1215,303.7499932
18-082A,50,1,150,3
18-082A,147,3,1895,12.89115646
18-082A,90,5,840,9.333333333
18-083A,127,1,360,2.834645669
18-083A,113,3,1425,12.61061947
18-083A,127,5,1230,9.68503937
18-084A,107,1,805,7.523364486
18-084A,70,3,480,6.857142857
18-085A,40,1,390,9.75
18-086B,120,3,1800,15
18-086B,120,5,2070,17.25
18-087B,120,3,1830,15.25
18-087B,120,5,3585,29.875
18-088A,20,1,120,6
18-088A,100,3,510,5.1
18-088A,120,5,570,4.75
18-088A,100,7,840,8.4
18-088A,110,9,885,8.045454545
18-089B,72,3,840,11.66666667
18-089B,42,5,450,10.71428571
18-089B,42,7,330,7.857142857
18-090A,333,1,1890,5.675675676
18-090A,185,3,435,2.351351351
18-094A,217,1,1455,6.705069124
18-094A,120,3,510,4.25
18-095A,350,1,1050,3
18-095A,440,3,1145,2.602272727
18-095A,350,5,450,1.285714286
18-097A,573,1,3015,5.261780105
18-097A,753,3,4200,5.577689243
18-097A,352,5,4510,12.8125
18-097A,668,7,4145,6.20508982
18-097A,219,9,1250,5.707762557
18-098A,240,1,1650,6.875
18-098A,240,3,5610,23.375
18-098A,241,5,3090,12.82157676
18-098A,0,7,0,\N
18-101A,100,1,180,1.8
18-101A,160,3,420,2.625
18-101A,160,5,630,3.9375
18-102A,91,1,1200,13.18681319
18-102A,136,3,3600,26.47058824
18-102A,152,5,1605,10.55921053
18-102A,150,7,1715,11.43333333
18-103A,200,1,855,4.275
18-103A,215,3,495,2.302325581
18-104A,231,1,3820,16.53679654
18-104A,245,3,3610,14.73469388
18-104A,262,5,2400,9.160305344
18-105A,26,1,405,15.57692308
18-105A,215,3,2295,10.6744186
18-105A,60,5,480,8
18-105A,161,7,3695,22.95031056
18-105A,160,9,2040,12.75
18-106A,132,1,1350,10.22727273
18-106A,174,3,1800,10.34482759
18-106A,169,5,4335,25.65088757
18-106A,172,7,1950,11.3372093
18-107A,83,1,660,7.951807229
18-107A,673,3,3360,4.992570579
18-107A,671,5,4065,6.058122206
18-107A,552,7,4655,8.432971014
18-107A,556,9,2025,3.642086331
18-107A,654,11,2805,4.288990826
18-108A,210,1,1950,9.285714286
18-108A,202,3,1355,6.707920792
18-108A,214,5,3780,17.6635514
18-109A,761,1,5140,6.754270696
18-109A,425,3,1950,4.588235294
18-109A,705,5,1800,2.553191489
18-110A,199,1,930,4.673366834
18-110A,233,3,2835,12.16738197
18-110A,258,5,6140,23.79844961
18-111A,196,1,2730,13.92857143
18-111A,151,3,635,4.205298013
18-111A,176,5,2805,15.9375
18-111A,19,7,0,0
18-112A,170,1,2180,12.82352941
18-112A,225,3,1545,6.866666667
18-112A,185,5,3195,17.27027027
18-113A,340,1,4980,14.64705882
18-113A,340,3,2755,8.102941176
18-113A,234,5,870,3.717948718
18-113A,100,9,360,3.6
18-114A,562,1,2310,4.110320285
18-114A,372,3,2205,5.927419355
18-114A,525,5,1230,2.342857143
18-115A,50,1,285,5.7
18-115A,89,3,300,3.370786517
18-116A,142,1,750,5.281690141
18-116A,107,3,570,5.327102804
18-116A,105,5,1350,12.85714286
18-116A,81,7,1050,12.96296296
18-116A,72,9,675,9.375
18-117A,30,1,480,16
18-117A,237,3,4545,19.17721519
18-117A,184,5,1530,8.315217391
18-117A,270,7,1520,5.62962963
18-117A,295,9,3065,10.38983051
18-117A,121,11,1005,8.305785124
18-118A,4,1,0,0
18-118A,212,3,2340,11.03773585
18-118A,195,5,1005,5.153846154
18-118A,195,7,1065,5.461538462
18-118A,153,9,1080,7.058823529
18-119A,76,1,1095,14.40789474
18-119A,175,3,4470,25.54285714
18-119A,204,5,2640,12.94117647
18-119A,120,7,2010,16.75
18-119A,284,9,3835,13.50352113
18-119A,53,11,450,8.490566038
18-119A,202,13,2025,10.02475248
18-120B,11,1,150,13.63636364
18-120B,45,3,1350,30
18-120B,24,5,240,10
18-120B,45,7,1020,22.66666667
18-120B,55,9,690,12.54545455
18-120B,35,11,300,8.571428571
18-120B,64,13,750,11.71875
18-121A,58,1,840,14.48275862
18-121A,122,3,2955,24.22131148
18-121A,126,5,1605,12.73809524
18-121A,79,7,910,11.51898734
18-122A,219,3,2385,10.89041096
18-122A,80,5,1600,20
18-122A,149,7,3045,20.43624161
18-122A,143,9,1845,12.9020979
18-123A,288,1,2655,9.21875
18-123A,278,3,2145,7.715827338
18-123A,283,5,4900,17.31448763
18-151A,10,1,180,18
18-152A,4,1,120,30
18-152A,245.9999999,3,3975,16.15853659
18-153B,10,1,60,6
18-153B,14,3,420,30
18-153B,15,7,270,18
18-153B,10,9,60,6
18-154B,21,3,570,27.14285714
18-154B,21,9,120,5.714285714
18-156B,12,9,60,5
18-157A,111,1,1020,9.189189189
18-157A,140,3,4290,30.64285714
18-158A,162,1,1665,10.27777778
18-158A,87,3,2505,28.79310345
18-159B,17,3,405,23.82352941
18-159B,17,5,270,15.88235294
18-160B,10,3,165,16.5
18-160B,10,5,150,15
18-162B,7,1,90,12.85714286
18-162B,15,3,390,26
18-162B,8,5,135,16.875
18-163B,18,3,390,21.66666667
18-163B,18,5,300,16.66666667
18-164B,12,3,180,15
18-164B,12,5,210,17.5
18-167A,2,3,30,15
18-168A,10,5,240,24
18-174A,4.000000119,1,810,202.499994
18-174A,0,3,0,\N
18-174A,4,5,120,30
18-175A,4.000000119,1,810,202.499994
18-175A,4,5,165,41.25
18-180A,11,1,180,16.36363636
18-180A,60,3,3020,50.33333333
18-182A,845,1,3274,3.874556213
18-182A,754,3,3940,5.225464191
18-184B,50,1,270,5.4
18-184B,50,3,180,3.6
18-185A,40,3,240,6
18-185A,40,5,160,4
18-186A,40,1,165,4.125
18-186A,40,3,135,3.375
18-186A,40,5,165,4.125
18-187A,15,1,105,7
18-187A,14,3,120,8.571428571
18-187A,14,5,30,2.142857143
18-194A,30,1,45,1.5
18-194A,30,3,330,11
18-197A,77,1,195,2.532467532
18-197A,67,3,810,12.08955224
18-198A,24,1,45,1.875
18-198A,64,3,810,12.65625
18-199A,24,1,45,1.875
18-201A,24,1,60,2.5
18-201A,24,3,360,15
18-202A,40,1,120,3
18-202A,72,3,1060,14.72222222
18-204A,18,1,45,2.5
18-205A,0,1,0,\N
18-205A,32,3,975,30.46875
18-206A,26,1,360,13.84615385
18-206A,14,3,300,21.42857143
18-207A,24,1,270,11.25
18-207A,24,3,435,18.125
18-208A,1297,1,8100,6.245181187
18-208A,1024,3,1995,1.948242188
18-209A,180,1,1125,6.25
18-209A,180,3,2505,13.91666667
18-209A,182,5,1140,6.263736264
18-209A,177,7,1795,10.14124294
18-209A,150,9,1710,11.4
18-211A,450,1,2160,4.8
18-211A,394,3,4095,10.39340102
18-211A,90,5,180,2
18-211A,100,7,1260,12.6
18-211A,294,9,3155,10.73129252
18-211A,27,11,270,10
18-212A,450,1,1410,3.133333333
18-212A,550,3,1320,2.4
18-213A,270,1,1560,5.777777778
18-213A,270,3,1435,5.314814815
18-213A,270,5,1440,5.333333333
18-213A,264,7,645,2.443181818
18-214A,240,1,930,3.875
18-214A,88,3,120,1.363636364
18-214A,160,5,1350,8.4375
18-215C,376,1,2835,7.539893617
18-215C,332,3,1320,3.975903614
18-215C,332,5,3990,12.01807229
18-215C,331,7,2430,7.341389728
18-215C,129,9,1605,12.44186047
18-217A,15,1,150,10
18-217A,45,3,85,1.888888889
18-218A,45,1,300,6.666666667
18-218A,0,3,0,\N
18-219A,57,1,630,11.05263158
18-219A,77,3,210,2.727272727
18-220A,38,1,165,4.342105263
18-220A,77,3,135,1.753246753
18-221A,0,1,0,\N
18-221A,45,3,555,12.33333333
18-221A,32,5,260,8.125
18-221A,36,7,420,11.66666667
18-221A,43,9,505,11.74418605
18-221A,2,11,30,15
18-222A,20,1,135,6.75
18-222A,20,3,30,1.5
18-223A,36,1,225,6.25
18-225A,101,3,1530,15.14851485
18-226A,33,1,300,9.090909091
18-226A,56,5,1050,18.75
