63|18-297B|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$66.35
64|18-298B|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$66.35
65|18-300A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$5.07
66|18-301A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$5.07
67|18-302A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$10.57
68|18-303A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$10.57
69|18-305A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$7.25
70|18-306A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$7.25
71|18-310A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$3.16
72|18-315A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$6.10
73|18-316A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$6.10
74|18-318A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$4.00
75|18-319A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$4.00
76|18-324A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$55.00
77|18-325A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$55.00
78|18-326A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$60.25
79|18-327A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$60.25
80|18-331A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$305.00
81|18-332A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$305.00
82|18-333B|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$27.40
83|18-350A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$35.50
84|18-358A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$23.45
85|18-359A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$23.45
86|18-366A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$19.25
87|18-367A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$19.25
88|18-368A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$19.50
89|18-369A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$19.50
90|18-398A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$36.50
91|18-399A|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$36.50
92|35-002|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$37.79
93|35-003|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$37.79
94|35-004|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$36.37
95|35-005|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$36.37
96|35-006|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$34.99
97|35-007|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$34.99
98|35-008|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$29.36
99|35-009|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$29.36
100|35-010|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$29.36
101|35-011|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$29.36
102|35-012|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.10
103|35-013|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.10
104|35-014|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.10
105|35-015|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$54.10
106|35-017|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$335.23
107|35-034|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$22.08
108|35-035|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$22.08
109|35-022|Primary spec|ThyssenKrupp Aerospace, Birmingham, UK Limited|$44.17
